codmun,ano,is_top_100,regiao
172010,2007,0,Norte
172010,2010,0,Norte
172015,2007,0,Norte
172015,2010,0,Norte
172020,2007,0,Norte
172020,2010,0,Norte
172025,2007,0,Norte
172025,2010,0,Norte
172030,2007,0,Norte
172030,2010,0,Norte
172049,2007,0,Norte
172049,2010,0,Norte
172065,2007,0,Norte
172065,2010,0,Norte
172080,2007,0,Norte
172080,2010,0,Norte
172085,2007,0,Norte
172085,2010,0,Norte
172090,2007,0,Norte
172090,2010,0,Norte
172093,2007,0,Norte
172093,2010,0,Norte
172097,2007,0,Norte
172097,2010,0,Norte
172110,2007,0,Norte
172110,2010,0,Norte
172120,2007,0,Norte
172120,2010,0,Norte
172125,2007,0,Norte
172125,2010,0,Norte
172130,2007,0,Norte
172130,2010,0,Norte
172208,2007,0,Norte
172208,2010,0,Norte
172210,2007,0,Norte
172210,2010,0,Norte
210005,2007,0,Nordeste
210005,2010,0,Nordeste
210010,2007,0,Nordeste
210010,2010,0,Nordeste
210015,2007,0,Nordeste
210015,2010,0,Nordeste
210020,2007,0,Nordeste
210020,2010,0,Nordeste
210030,2007,0,Nordeste
210030,2010,0,Nordeste
210040,2007,0,Nordeste
210040,2010,0,Nordeste
210043,2007,0,Nordeste
210043,2010,0,Nordeste
210047,2007,0,Nordeste
210047,2010,0,Nordeste
210050,2007,0,Nordeste
210050,2010,0,Nordeste
210055,2007,0,Nordeste
210055,2010,0,Nordeste
210060,2007,0,Nordeste
210060,2010,0,Nordeste
210070,2007,0,Nordeste
210070,2010,0,Nordeste
210080,2007,0,Nordeste
210080,2010,0,Nordeste
210083,2007,0,Nordeste
210083,2010,0,Nordeste
210087,2007,0,Nordeste
210087,2010,0,Nordeste
210087,2010,0,Nordeste
210087,2010,0,Nordeste
210087,2010,0,Nordeste
210090,2007,0,Nordeste
210090,2010,0,Nordeste
210095,2007,0,Nordeste
210095,2010,0,Nordeste
210100,2007,0,Nordeste
210100,2010,0,Nordeste
210110,2007,0,Nordeste
210110,2010,0,Nordeste
210120,2007,0,Nordeste
210120,2010,0,Nordeste
210125,2007,0,Nordeste
210125,2010,0,Nordeste
210130,2007,0,Nordeste
210130,2010,0,Nordeste
210135,2007,0,Nordeste
210135,2010,0,Nordeste
210140,2007,0,Nordeste
210140,2010,0,Nordeste
210150,2007,0,Nordeste
210150,2010,0,Nordeste
210160,2007,0,Nordeste
210160,2010,0,Nordeste
210170,2007,0,Nordeste
210170,2010,0,Nordeste
210173,2007,0,Nordeste
210173,2010,0,Nordeste
210177,2007,0,Nordeste
210177,2010,0,Nordeste
210180,2007,0,Nordeste
210180,2010,0,Nordeste
210190,2007,0,Nordeste
210190,2010,0,Nordeste
210193,2007,0,Nordeste
210193,2010,0,Nordeste
210197,2007,0,Nordeste
210197,2010,0,Nordeste
210203,2007,0,Nordeste
210203,2010,0,Nordeste
210207,2007,0,Nordeste
210207,2010,0,Nordeste
210210,2007,0,Nordeste
210210,2010,0,Nordeste
210215,2007,0,Nordeste
210215,2010,0,Nordeste
210220,2007,0,Nordeste
210220,2010,0,Nordeste
210230,2007,0,Nordeste
210230,2010,0,Nordeste
210232,2007,0,Nordeste
210232,2010,0,Nordeste
210235,2007,0,Nordeste
210235,2010,0,Nordeste
210237,2007,0,Nordeste
210237,2010,0,Nordeste
